e5c33e35-2d8f-3015-8115-64bdd90c044e;9cf5cb40-6129-4fed-8fed-23026538289f;1;Acetochlor;emissions to water/river;;Acetochlor;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
a5dbd7c9-3e37-3af7-a097-2cc1f1b2c4e1;1f130425-11f9-4ec2-8d2f-d282acaacf5c;1;Acetone;emissions to air/high. pop.;;Acetone;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c935225c-3578-31b2-aff3-e01fb0ce3dad;7a2d7097-20c4-4b5f-b2ee-bcfc2ba1378f;1;Acetone;emissions to air/low. pop.;;Acetone;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
16aeb322-34d9-3c9b-9ce3-c458cfae68f1;f3d5fd96-8805-4d3d-867a-5df27975b07f;1;Acetone;emissions to air/unspecified;;Acetone;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
715a21f5-933f-3b68-b292-676f0234ae83;4b6f838f-fde2-4f2b-9dc9-87e39a52b94e;1;Acetone;emissions to water/river;;Acetone;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
80a4a2b9-7e57-392f-a4bb-e02b57b0b204;d78a3d22-4bed-4ad3-8a9c-1cc4645188d0;1;Acetone;emissions to water/unspecified;;Acetone;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
dcee595c-26eb-377e-86ef-e504fe041406;f7553ef8-e4f3-4b9c-98be-81fa36315648;1;Acetonitrile;emissions to air/low. pop.;;Acetonitrile;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
0aaccf1d-96b9-34c7-87cf-b9d31451120e;ff45a199-18e0-4777-886b-e2d0422d2f82;1;Acetonitrile;emissions to air/unspecified;;Acetonitrile;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
a04d5c6b-9133-3a33-b596-e08fa21a357d;5ba194c6-30c2-44fc-ae03-c992b88c9c73;1;Acetonitrile;emissions to water/river;;Acetonitrile;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ff90b68e-d08b-3f75-8482-f4ba54aac556;bbf4d3e7-ac9e-4d6e-9da0-fe15ba3e5fd6;1;Acetyl chloride;emissions to water/river;;Acetyl chloride;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
3615606e-6faf-30f2-9b4f-cbc27e9afae2;27c7cf05-a12b-3dfb-ac83-863c0716ad29;1;Acetylene, dichloro-;emissions to air/high. pop.;;Acetylene, dichloro-;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
7b939693-0679-3204-826c-d3d797de530f;6277bb68-8dde-36f6-8d89-f588c0720ccc;1;Acetylene, dichloro-;emissions to air/unspecified;;Acetylene, dichloro-;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
60ca6b59-8025-33df-8779-b323301e65fe;29066274-6556-11dd-ad8b-0800200c9a66;1;Acidity, unspecified;emissions to air/unspecified;;Acidity, unspecified;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ec6de773-ce87-39d3-bb78-aeab4c79a4ad;25ca862e-55b9-3922-ad34-8191dbe5dd0f;1;Acidity, unspecified;emissions to soil/industrial;;Acidity, unspecified;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
