"74b214d7-8f90-3ffe-a5e0-3d5533899592";"BOD + Selected LCI results.csv";"Selected LCI results";"BOD";"kg"
"ba1fc06e-8b99-33a1-81c7-cd20ea4386cb";"Production capacity for fruit&vegetables + EPS 2015dx.csv";"EPS 2015dx";"Production capacity for fruit&vegetables";"kg"
"2e0b3f30-541b-37c9-8cfe-071de8a46f6d";"Land use + EF 3.0 Method (adapted).csv";"EF 3.0 Method (adapted)";"Land use";"Pt"
"0c6bbea0-170f-3ff4-9780-45139d0f5883";"Natural resource depletion + BEES+.csv";"BEES+";"Natural resource depletion";"MJ surplus"
"be3012f8-4350-37a4-a95f-74bf58f9223a";"Ozone formation, Terrestrial ecosystems + ReCiPe 2016 Midpoint (E).csv";"ReCiPe 2016 Midpoint (E)";"Ozone formation, Terrestrial ecosystems";"kg NOx eq"
"49502cb8-5949-3f27-9ce8-ac89cd26a64d";"Freshwater eutrophication + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Freshwater eutrophication";"species.yr"
"ff4ca1ca-cb2e-32dc-b510-5f6b12f3d2e2";"Water consumption, Human health + ReCiPe 2016 Endpoint (E).csv";"ReCiPe 2016 Endpoint (E)";"Water consumption, Human health";"DALY"
"2b810a33-afae-3b82-873e-fcbf70842846";"Heavy metals into air + Ecological Scarcity 2013.csv";"Ecological Scarcity 2013";"Heavy metals into air";"UBP"
"c25c7c42-db8f-3648-b569-b46c1fc83379";"Non-renewable energy + IMPACT 2002+.csv";"IMPACT 2002+";"Non-renewable energy";"MJ primary"
"d2d8488b-475f-3d15-88dc-b2b1c286b584";"Particulates + Selected LCI results, additional.csv";"Selected LCI results, additional";"Particulates";"kg"
"9dbf2441-a7f5-31c1-ae94-d73ae41c59d2";"Stratospheric ozone depletion + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Stratospheric ozone depletion";"DALY"
"a54645e7-71cc-3222-ac63-62a5de5d3f27";"Photochem. oxid. (incl. NMVOC av.) + CML-IA non-baseline.csv";"CML-IA non-baseline";"Photochem. oxid. (incl. NMVOC av.)";"kg C2H4 eq"
"220081ea-e677-379e-a67f-39b5c6d5042b";"Renewable, water + Cumulative Energy Demand (LHV).csv";"Cumulative Energy Demand (LHV)";"Renewable, water";"MJ"
"db3697b8-3ae9-3fc3-9ce9-5f3575555ef3";"Terrestrial ecotoxicity + IMPACT 2002+.csv";"IMPACT 2002+";"Terrestrial ecotoxicity";"kg TEG soil"
"39495a77-7953-3046-a608-1e024bcf6a1a";"Noise + Ecological Scarcity 2013.csv";"Ecological Scarcity 2013";"Noise";"UBP"
"3b69b396-7853-3de1-9576-87c3abe73c01";"Marine ecotoxicity + ReCiPe 2016 Midpoint (E).csv";"ReCiPe 2016 Midpoint (E)";"Marine ecotoxicity";"kg 1,4-DCB"
"72575de8-6756-3f4b-a471-aa406b665afb";"Non renewable, minerals + Cumulative Exergy Demand.csv";"Cumulative Exergy Demand";"Non renewable, minerals";"MJ"
"9b283778-ca59-3c9f-93d9-157c3db028db";"Global warming 100a (incl. NMVOC av.) + CML-IA non-baseline.csv";"CML-IA non-baseline";"Global warming 100a (incl. NMVOC av.)";"kg CO2 eq"
"bbea57ba-90aa-3398-aa15-353dccf109c7";"Biogenic CO2 eq + Greenhouse Gas Protocol.csv";"Greenhouse Gas Protocol";"Biogenic CO2 eq";"kg CO2 eq"
"6d8c31a0-a055-319e-85ae-72f83ff057b4";"Marine eutrophication + ReCiPe 2016 Endpoint (E).csv";"ReCiPe 2016 Endpoint (E)";"Marine eutrophication";"species.yr"
"e6b30240-9ea8-33da-a44d-1478e79bdfca";"Terr. ecotox. (PAH, Xylene & NMVOC av.) + CML-IA non-baseline.csv";"CML-IA non-baseline";"Terr. ecotox. (PAH, Xylene & NMVOC av.)";"kg 1,4-DB eq"
"3513b783-22f0-313f-af2c-9b9dc4c31fda";"Malnutrition + EPS 2015d.csv";"EPS 2015d";"Malnutrition";"PersonYr"
"ade06603-d83a-35f1-a8a4-ae645574c89f";"Global warming (GWP100a) + EPD (2018).csv";"EPD (2018)";"Global warming (GWP100a)";"kg CO2 eq"
"9022c69c-70a7-3d49-a988-e74a5863d183";"Human toxicity, cancer - metals + EN 15804 +A2 Method.csv";"EN 15804 +A2 Method";"Human toxicity, cancer - metals";"CTUh"
"a1fa8b37-27c4-3bf8-a6d2-3922b112e987";"Freshwater eutrophication + ReCiPe 2016 Endpoint (E).csv";"ReCiPe 2016 Endpoint (E)";"Freshwater eutrophication";"species.yr"
"d01b7214-6fd9-3930-b2e2-66296bb1f17e";"Resource use, energy carriers + EF Method (adapted).csv";"EF Method (adapted)";"Resource use, energy carriers";"MJ"
"a3eafba2-4999-31ff-b2d3-a312b625eac1";"Abiotic depletion (elem., reserve base) + CML-IA non-baseline.csv";"CML-IA non-baseline";"Abiotic depletion (elem., reserve base)";"kg Sb eq"
"362e8400-55b5-392e-9d14-e346b739e550";"Sulphur dioxide + Selected LCI results.csv";"Selected LCI results";"Sulphur dioxide";"kg"
"b3d5b4e1-cf11-3960-b71f-b780295d28c6";"Resources (all) + EDIP 2003.csv";"EDIP 2003";"Resources (all)";"PR2004"
"537c7e90-dc16-386d-91fc-f9119b238972";"Ecosystem Quality + Pfister et al 2009 (Eco-indicator 99).csv";"Pfister et al 2009 (Eco-indicator 99)";"Ecosystem Quality";"PAF*m2yr"
"3a25e137-74d7-3d34-a8aa-ddf502b2c335";"Marine ecotoxicity + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Marine ecotoxicity";"species.yr"
"b58ae860-49c5-3987-a88e-cf6bfdf2ed7a";"Water consumption, Terrestrial ecosystem + ReCiPe 2016 Endpoint (E).csv";"ReCiPe 2016 Endpoint (E)";"Water consumption, Terrestrial ecosystem";"species.yr"
"93a66862-1283-3605-ac69-d940914bfa66";"Slags ashes + EDIP 2003.csv";"EDIP 2003";"Slags/ashes";"kg"
"4c575d90-e089-3fa4-bfc3-798849f03109";"Renewable , biomass + Cumulative Exergy Demand.csv";"Cumulative Exergy Demand";"Renewable , biomass";"MJ"
"a27bbc3d-d9ae-3193-9181-7529aa2bfd8f";"Species extinction + EPS 2015d.csv";"EPS 2015d";"Species extinction";"NEX"
"7496c2e2-6745-3dd7-a343-1059faf00363";"Water consumption, Terrestrial ecosystem + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Water consumption, Terrestrial ecosystem";"species.yr"
"d19f3d69-acb9-3952-9915-ab0a8a2384d6";"Ozone formation, Human health + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Ozone formation, Human health";"DALY"
"fafa88de-03aa-3ba7-b348-ad2af241b28b";"Renewable, solar + Cumulative Exergy Demand.csv";"Cumulative Exergy Demand";"Renewable, solar";"MJ"
"0d9b7dc6-2398-3f8c-81ea-a00ae34b8427";"POP into water + Ecological Scarcity 2013.csv";"Ecological Scarcity 2013";"POP into water";"UBP"
"55369ffb-9f68-3c0c-be21-3c8db81ee6a4";"Marine eutrophication + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Marine eutrophication";"species.yr"
"0d4ca54a-eeea-3564-93a5-03906d763cdb";"Terrestrial acidification + ReCiPe 2016 Midpoint (H).csv";"ReCiPe 2016 Midpoint (H)";"Terrestrial acidification";"kg SO2 eq"
"dab0053c-59b2-388d-bfed-7a69c23df7a4";"Terrestrial ecotoxicity + ReCiPe 2016 Midpoint (E).csv";"ReCiPe 2016 Midpoint (E)";"Terrestrial ecotoxicity";"kg 1,4-DCB"
"61009a43-3c77-3551-9a5b-d3371ce69c57";"Ecosystem Quality + Pfister et al 2010 (ReCiPe).csv";"Pfister et al 2010 (ReCiPe)";"Ecosystem Quality";"species*year"
"4c6159c5-1d29-37ea-9570-b5baff3504b3";"Land use + ReCiPe 2016 Endpoint (I).csv";"ReCiPe 2016 Endpoint (I)";"Land use";"species.yr"
"aeb965a8-6d8f-3393-a3de-7d4170830685";"Hazardous waste + EDIP 2003.csv";"EDIP 2003";"Hazardous waste";"kg"
"545d53a2-f78f-3608-840f-04458a2ecda3";"Crop growth capacity + EPS 2015d.csv";"EPS 2015d";"Crop growth capacity";"kg"
"42b26d72-71ed-3c07-bb14-f7669d4e7a63";"Human toxicity air + EDIP 2003.csv";"EDIP 2003";"Human toxicity air";"person"
"022b6ff1-a76f-39ff-9a1c-aced4cfa102c";"Human toxicity, non-cancer + EN 15804 +A2 Method.csv";"EN 15804 +A2 Method";"Human toxicity, non-cancer";"CTUh"
"6829b75b-fdae-32a9-a27f-2bd4834439a6";"Cancer human health effects + EF Method (adapted).csv";"EF Method (adapted)";"Cancer human health effects";"CTUh"
"73a47a0e-d1bf-302e-9ccb-5acd886512e3";"Terrestrial ecotoxicity + CML-IA baseline.csv";"CML-IA baseline";"Terrestrial ecotoxicity";"kg 1,4-DB eq"
"0fc381a9-e885-3c8d-8fa3-1ac54a8af794";"Drinking water + EPS 2015dx.csv";"EPS 2015dx";"Drinking water";"kg"
"1b39ccd7-a181-3c71-bd58-e2cd6d72b8de";"Climate change - Land use and LU change + EN 15804 +A2 Method.csv";"EN 15804 +A2 Method";"Climate change - Land use and LU change";"kg CO2 eq"
